title,technologies
Intern Python developer,"Git,Python,Комунікабельність,Програмування,Знання принципів ООП,PyQt,Tkinter"
Junior Python Developer,"Користувач ОС Linux,SQL,Git,GitHub,Python,Комунікабельність,Telegram API,Django,Flask"
Full-stack програміст на Python (Strong Junior),"JavaScript,SQL,Python,Комунікабельність,Відповідальність,jQuery,Django,Django Rest Framework,Робота в команді,MS SQL Server,Frontend-розробка"
Python Backend Developer,"Користувач ОС Linux,SQL,Git,Python,Docker,NoSQL,Backend-розробка,Робота в команді"
Middle Python Back end Developer,"Git,JavaScript,Python,PostgreSQL,Django,Django Rest Framework,nginx,HTTP,REST,Angular,Redis,Elasticsearch,Celery,WebSocket"
"Python Developer, Mentor","CSS,Користувач ОС Linux,JavaScript,HTML,MySQL,Git,Python,PostgreSQL,Знання принципів ООП,Docker,Django,Django Rest Framework,SQLite,REST,Flask,AWS,SQLAlchemy"
"Викладач програмування для дітей (Java, JavaScript, Python)","JavaScript,Java,Python,Програмування"
Senior Python Developer,"Python,MongoDB,FastAPI,OpenAI"
"Python, PHP Developer","CSS,JavaScript,HTML,PHP,MySQL,Python,PostgreSQL,Знання принципів ООП,Laravel,Yii,Програмування,Zend Framework,SOLID Principles"
Python-програміст (стажер),"Python,Програмування,Бажання вчитися і розвиватися"
"Middle Developer (PHP, JS, Java, C/C++, C#, Ruby, Python)","Java,PHP,JavaScript,Python,C++,C#,Цілеспрямованість,Програмування,C/C++"
"Fullstack Python, React Developer","CSS,Користувач ОС Linux,JavaScript,Python,PostgreSQL,React,Agile,Відповідальність,MongoDB,Docker,Docker Compose,TypeScript,Django,Flask,AWS,ORM,FastAPI,SOLID Principles,CI/CD"
"Викладач у дитячу IT-школу програмування (Scratch, Геймдизайн Python, Frontend)","CSS,JavaScript,HTML,Python,Комунікабельність,Програмування,Креативність,Scratch,Бажання вчитися і розвиватися"
Fullstack developer (Python),"CSS,HTML,JavaScript,Python,PostgreSQL,Flask,Celery,FastAPI"
Python Developer,"Java,PHP,MySQL,Git,GitHub,GitLab,JavaScript,Python,C++,PostgreSQL,React,Відповідальність,MongoDB,Docker,Програмування,Знання принципів ООП,AWS,C#"
Кодер (Python),"HTML,Python,Робота в команді,Бажання вчитися і розвиватися"
Senior/Tech Lead Python developer,"Python,Django,Django Rest Framework,REST,OpenAI"
"Викладач IT-технологій (Python, Unity)","Відповідальність,Користувач ПК,Python,Unity,Викладання для дітей та підлітків,Програмування,Активність,Організованість"
Python developer (з навчанням),"Java,Python,Комунікабельність,Програмування"
"Python/Django Developer (Junior, Middle, Middle+)","JavaScript,Git,GitLab,Python,Trello,PostgreSQL,React,Знання принципів ООП,Docker,Docker Compose,Django,Django Rest Framework,Unit-тестування,REST,Selenium,Redis,Знання принципів TDD,ORM,Celery,KISS,Продуктивність,SOLID Principles"
"Вчитель IT (Python, Minecraft)","Комунікабельність,Відповідальність"
"Python Developer (Mid. Level, Senior, Engineering Automatization)","Python,C#,Communicability,Responsibility,REST,Programming,Knowledge of OOP principles,RabbitMQ,Discipline"
"AQA Engineer (Python, Playwright)","Git,JavaScript,Python,React,Django,Selenium,Програмування,AWS,Playwright"
Python-программист,"Пользователь ОС Linux,HTML,SQL,Git,JavaScript,Python,PostgreSQL,Docker,Django,HTTP,Программирование,Flask,SQLAlchemy,Aiohttp,CI/CD"
